iter	Logloss
249	0.5779328801
250	0.5778664147
251	0.5777401581
252	0.5776484003
253	0.5775720926
254	0.5774916353
255	0.5774013138
256	0.5772908692
257	0.5771980198
258	0.5771151384
259	0.5769974203
260	0.576914232
261	0.57682464
262	0.5767224068
263	0.5766179737
264	0.5765344312
265	0.5764420364
266	0.576353095
267	0.5762198043
268	0.5761370778
269	0.5760296571
270	0.5759621935
271	0.5758882283
272	0.5757616999
273	0.5756123559
274	0.5754862543
275	0.5753470374
276	0.5752434862
277	0.5750905061
278	0.5749787404
279	0.5748583598
280	0.5747153419
281	0.574589997
282	0.5744971825
283	0.5744067252
284	0.5742882547
285	0.5742018122
286	0.5740960997
287	0.5739930152
288	0.5739104134
289	0.5738025821
290	0.5737135471
291	0.5736223866
292	0.5735367944
293	0.5733967325
294	0.5732673544
295	0.5731745087
296	0.5730877694
297	0.5729684781
298	0.5728462149
299	0.5727439317
300	0.5726573981
301	0.572556547
302	0.5724725353
303	0.5723435653
304	0.5722351996
305	0.572091416
306	0.571969957
307	0.5718690428
308	0.5717653684
309	0.571667127
310	0.5715848132
311	0.571451272
312	0.5713579414
313	0.5712659662
314	0.5711733452
315	0.5710776296
316	0.5709642002
317	0.5708484821
318	0.5707571552
319	0.5706386262
320	0.570546032
321	0.5704487168
322	0.5703197368
323	0.5701930357
324	0.5700797808
325	0.5699968426
326	0.5698820433
327	0.5697540795
328	0.5696624393
329	0.5695572625
330	0.5694729905
331	0.5693642076
332	0.5692686098
333	0.5691629665
334	0.5690566559
335	0.5689546591
336	0.5688794344
337	0.5687756634
338	0.5686793833
339	0.5685833272
340	0.5685184306
341	0.5684232111
342	0.5683211038
343	0.5682211371
344	0.5681100923
345	0.5680304429
346	0.5679372622
347	0.5678432004
348	0.567766338
349	0.5676486325
350	0.5675291585
351	0.5674248255
352	0.5673618939
353	0.5672631692
354	0.5671619748
355	0.5670661351
356	0.5669570935
357	0.566884183
358	0.5668201136
359	0.5667216126
360	0.5666335975
361	0.5665131962
362	0.5664015404
363	0.5663099453
364	0.5662263054
365	0.5661394644
366	0.5660336976
367	0.5659672768
368	0.5658706145
369	0.5657557562
370	0.5656556701
371	0.5655713247
372	0.5654687569
373	0.5653696108
374	0.5652588932
375	0.5651819765
376	0.5650835713
377	0.5649930509
378	0.5649068524
379	0.5648162513
380	0.5647100149
381	0.5646226256
382	0.5645158912
383	0.564424989
384	0.5643307681
385	0.5642210963
386	0.5641337452
387	0.5640214022
388	0.5639131197
389	0.563828898
390	0.5637520499
391	0.5636871108
392	0.5636076987
393	0.5635240359
394	0.5634521474
395	0.5633365389
396	0.5632360644
397	0.5631280253
398	0.5630168068
399	0.5629230446
400	0.5628364878
401	0.5627769109
402	0.5627068839
403	0.5625785836
404	0.5624884466
405	0.5623957523
406	0.5623381617
407	0.5622545932
408	0.562176776
409	0.5620684826
410	0.5619983452
411	0.5619236455
412	0.5618474422
413	0.561785589
414	0.5616885404
415	0.5616049535
416	0.5615192107
417	0.5614097868
418	0.5613316676
419	0.5612252996
420	0.5611476989
421	0.561042625
422	0.5609577741
423	0.5608570474
424	0.5607822335
425	0.5606894199
426	0.5606024088
427	0.5605033791
428	0.5604077245
429	0.5603679278
430	0.5602731751
431	0.5601884712
432	0.5601184756
433	0.5599984889
434	0.5598934211
435	0.5598041675
436	0.5597384863
437	0.5596840984
438	0.5595692111
439	0.5594911245
440	0.5594385962
441	0.5593444028
442	0.5592644894
443	0.5591807459
444	0.5590798014
445	0.5590003257
446	0.5589255232
447	0.5588676224
448	0.5587867488
449	0.5587130624
450	0.5586216282
451	0.5585294931
452	0.5584338242
453	0.5583280689
454	0.5582312545
455	0.5581812059
456	0.5581002252
457	0.5580352507
458	0.5579858191
459	0.5579290411
460	0.5578386496
461	0.5577772095
462	0.5577172351
463	0.5576134493
464	0.557547951
465	0.5574419014
466	0.5573541345
467	0.5572682983
468	0.5571996868
469	0.557124097
470	0.557037959
471	0.5569357133
472	0.5568474704
473	0.5567887309
474	0.5567485458
475	0.5566730271
476	0.5565849884
477	0.5565365255
478	0.5564500385
479	0.5563790526
480	0.5562787077
481	0.5562100654
482	0.5561235978
483	0.5560731595
484	0.5560241987
485	0.5559293281
486	0.5558537582
487	0.5558036209
488	0.5557078827
489	0.5556361572
490	0.5555904075
491	0.5554917585
492	0.5554301037
493	0.5553704292
494	0.5552761074
495	0.5552401065
496	0.5551701877
497	0.555106414
498	0.5550475851
499	0.5549709051
